Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
3,1.0,1.0,1.0,2553.0,0.94,0.89,0.92,93.0,XGBoost_rfe
4,1.0,1.0,1.0,2553.0,0.74,0.91,0.82,79.0,XGBoost_rfe
accuracy,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,XGBoost_rfe
macro avg,1.0,1.0,1.0,12765.0,0.88,0.88,0.88,1098.0,XGBoost_rfe
weighted avg,1.0,1.0,1.0,12765.0,0.9,0.9,0.9,1098.0,XGBoost_rfe
balanced_accuracy,,,1.0,,,,0.88,,XGBoost_rfe
0,0.99,1.0,0.99,2553.0,0.69,0.67,0.68,134.0,XGBoost_pca
1,1.0,0.99,1.0,2553.0,0.86,0.79,0.83,186.0,XGBoost_pca
2,1.0,0.99,1.0,2553.0,0.88,0.88,0.88,606.0,XGBoost_pca
3,1.0,1.0,1.0,2553.0,0.86,0.86,0.86,93.0,XGBoost_pca
4,1.0,1.0,1.0,2553.0,0.68,0.82,0.75,79.0,XGBoost_pca
accuracy,1.0,1.0,1.0,1.0,0.84,0.84,0.84,0.84,XGBoost_pca
macro avg,1.0,1.0,1.0,12765.0,0.8,0.81,0.8,1098.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,12765.0,0.84,0.84,0.84,1098.0,XGBoost_pca
balanced_accuracy,,,1.0,,,,0.81,,XGBoost_pca
